REKAPITULASI DATA PARKIR ;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Segmen I (Cinde-Butik Shinjuku);;;;Kapasitas ;113;;Segmen I (Cinde-Butik Shinjuku);;;;Kapasitas;34
Mobil Penumpang;Jumlah Kendaraan;;Akumulasi;Volume;Indeks Parkir;;Motor;Jumlah Kendaraan;;Akumulasi;Volume;Indeks Parkir
Periode Pengamatan;Datang;Berangkat;;;;;Periode Pengamatan;Datang;Berangkat;;;
09.00 - 09.15;9;1;8;8;7%;;09.00 - 09.15;1;0;1;1;3%
09.15 - 09.30;21;5;24;32;21%;;09.15 - 09.30;9;1;9;10;26%
09.30 - 09.45;21;13;32;64;28%;;09.30 - 09.45;16;10;15;25;44%
09.45 - 10.00;11;11;32;96;28%;;09.45 - 10.00;11;4;22;47;65%
10.00 - 10.15;4;6;30;126;27%;;10.00 - 10.15;1;5;18;65;53%
10.15 - 10.30;21;14;37;163;33%;;10.15 - 10.30;5;4;19;84;56%
10.30 - 10.45;14;22;29;192;26%;;10.30 - 10.45;8;5;22;106;65%
10.45 - 11.00;12;13;28;220;25%;;10.45 - 11.00;16;9;29;135;85%
11.00 - 11.15;15;8;35;255;31%;;11.00 - 11.15;2;9;22;157;65%
11.15 -11.30;27;21;41;296;36%;;11.15 -11.30;2;7;17;174;50%
11.30 -11.45;9;21;29;325;26%;;11.30 -11.45;4;2;19;193;56%
11.45 -12.00;11;10;30;355;27%;;11.45 -12.00;0;6;13;206;38%
12.00 - 12.15;4;5;29;384;26%;;12.00 - 12.15;4;4;13;219;38%
12.15 - 12.30;4;8;25;409;22%;;12.15 - 12.30;2;6;9;228;26%
12.30 - 12.45;4;5;24;433;21%;;12.30 - 12.45;0;1;8;236;24%
12.45 - 13.00;11;5;30;463;27%;;12.45 - 13.00;0;2;6;242;18%
13.00 - 13.15;4;6;28;491;25%;;13.00 - 13.15;5;3;8;250;24%
13.15 - 13.30;4;6;26;517;23%;;13.15 - 13.30;8;11;5;255;15%
13.30 - 13.45;0;2;24;541;21%;;13.30 - 13.45;5;2;8;263;24%
13.45 - 14.00;3;4;23;564;20%;;13.45 - 14.00;3;3;8;271;24%
14.00 - 14.15;4;1;26;590;23%;;14.00 - 14.15;7;2;13;284;38%
14.15 - 14.30;4;4;26;616;23%;;14.15 - 14.30;1;4;10;294;29%
14.30 - 14.45;5;2;29;645;26%;;14.30 - 14.45;2;0;12;306;35%
14.45 - 15.00;4;4;29;674;26%;;14.45 - 15.00;3;3;12;318;35%
15.00  - 15.15;3;5;27;701;24%;;15.00  - 15.15;2;0;14;332;41%
15.15 - 15.30;4;0;31;732;27%;;15.15 - 15.30;5;1;18;350;53%
15.30 - 15.45;3;3;31;763;27%;;15.30 - 15.45;4;1;21;371;62%
15.45 - 16.00;10;3;38;801;34%;;15.45 - 16.00;8;2;27;398;79%
16.00 - 16.15;1;3;36;837;32%;;16.00 - 16.15;4;5;26;424;76%
16.15 - 16.30;1;8;29;866;26%;;16.15 - 16.30;5;7;24;448;71%
16.30 - 16.45;1;5;25;891;22%;;16.30 - 16.45;4;10;18;466;53%
16.45 - 17.00;6;31;0;891;0%;;16.45 - 17.00;3;21;0;466;0%
;255;;;;;;;150;;;;